operation, contention, seconds, nanoseconds, bytes, iterations
write, 0, 0, 136854, 131072, 8192
write, 0, 0, 135164, 131072, 8192
write, 0, 0, 135113, 131072, 8192
write, 0, 0, 135153, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135103, 131072, 8192
write, 0, 0, 135093, 131072, 8192
write, 0, 0, 135124, 131072, 8192
write, 0, 0, 135174, 131072, 8192
write, 0, 0, 135143, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135104, 131072, 8192
write, 0, 0, 135114, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135124, 131072, 8192
write, 0, 0, 135144, 131072, 8192
write, 0, 0, 135103, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135154, 131072, 8192
write, 0, 0, 135103, 131072, 8192
write, 0, 0, 135103, 131072, 8192
write, 0, 0, 135104, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135154, 131072, 8192
write, 0, 0, 135124, 131072, 8192
write, 0, 0, 144384, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135084, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135104, 131072, 8192
write, 0, 0, 135144, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135094, 131072, 8192
write, 0, 0, 135124, 131072, 8192
write, 0, 0, 135113, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135144, 131072, 8192
write, 0, 0, 135173, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135124, 131072, 8192
write, 0, 0, 135183, 131072, 8192
write, 0, 0, 135153, 131072, 8192
write, 0, 0, 135194, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135113, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135124, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135113, 131072, 8192
write, 0, 0, 135104, 131072, 8192
write, 0, 0, 135144, 131072, 8192
write, 0, 0, 141774, 131072, 8192
write, 0, 0, 135124, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135113, 131072, 8192
write, 0, 0, 135154, 131072, 8192
write, 0, 0, 135114, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135113, 131072, 8192
write, 0, 0, 135104, 131072, 8192
write, 0, 0, 135114, 131072, 8192
write, 0, 0, 135093, 131072, 8192
write, 0, 0, 135143, 131072, 8192
write, 0, 0, 135124, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135103, 131072, 8192
write, 0, 0, 135104, 131072, 8192
write, 0, 0, 135114, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135173, 131072, 8192
write, 0, 0, 135104, 131072, 8192
write, 0, 0, 135113, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135184, 131072, 8192
write, 0, 0, 135104, 131072, 8192
write, 0, 0, 135103, 131072, 8192
write, 0, 0, 135143, 131072, 8192
write, 0, 0, 139884, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135113, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135133, 131072, 8192
write, 0, 0, 135163, 131072, 8192
write, 0, 0, 135144, 131072, 8192
write, 0, 0, 135094, 131072, 8192
write, 0, 0, 135113, 131072, 8192
write, 0, 0, 135134, 131072, 8192
write, 0, 0, 135124, 131072, 8192
write, 0, 0, 135123, 131072, 8192
write, 1, 0, 271907, 131072, 8192
write, 1, 0, 270878, 131072, 8192
write, 1, 0, 268677, 131072, 8192
write, 1, 0, 270637, 131072, 8192
write, 1, 0, 270337, 131072, 8192
write, 1, 0, 268857, 131072, 8192
write, 1, 0, 271078, 131072, 8192
write, 1, 0, 273177, 131072, 8192
write, 1, 0, 269837, 131072, 8192
write, 1, 0, 269967, 131072, 8192
write, 1, 0, 267937, 131072, 8192
write, 1, 0, 273707, 131072, 8192
write, 1, 0, 287639, 131072, 8192
write, 1, 0, 270957, 131072, 8192
write, 1, 0, 269327, 131072, 8192
write, 1, 0, 270017, 131072, 8192
write, 1, 0, 272887, 131072, 8192
write, 1, 0, 271248, 131072, 8192
write, 1, 0, 270467, 131072, 8192
write, 1, 0, 270367, 131072, 8192
write, 1, 0, 269937, 131072, 8192
write, 1, 0, 279217, 131072, 8192
write, 1, 0, 269157, 131072, 8192
write, 1, 0, 272657, 131072, 8192
write, 1, 0, 267697, 131072, 8192
write, 1, 0, 272478, 131072, 8192
write, 1, 0, 268597, 131072, 8192
write, 1, 0, 272677, 131072, 8192
write, 1, 0, 271177, 131072, 8192
write, 1, 0, 270637, 131072, 8192
write, 1, 0, 270327, 131072, 8192
write, 1, 0, 272107, 131072, 8192
write, 1, 0, 269717, 131072, 8192
write, 1, 0, 268537, 131072, 8192
write, 1, 0, 270167, 131072, 8192
write, 1, 0, 271927, 131072, 8192
write, 1, 0, 267827, 131072, 8192
write, 1, 0, 272008, 131072, 8192
write, 1, 0, 269987, 131072, 8192
write, 1, 0, 269737, 131072, 8192
write, 1, 0, 269967, 131072, 8192
write, 1, 0, 269887, 131072, 8192
write, 1, 0, 269777, 131072, 8192
write, 1, 0, 269727, 131072, 8192
write, 1, 0, 269597, 131072, 8192
write, 1, 0, 271317, 131072, 8192
write, 1, 0, 269046, 131072, 8192
write, 1, 0, 270907, 131072, 8192
write, 1, 0, 270397, 131072, 8192
write, 1, 0, 270737, 131072, 8192
write, 1, 0, 273768, 131072, 8192
write, 1, 0, 271277, 131072, 8192
write, 1, 0, 271978, 131072, 8192
write, 1, 0, 270707, 131072, 8192
write, 1, 0, 270007, 131072, 8192
write, 1, 0, 271657, 131072, 8192
write, 1, 0, 270237, 131072, 8192
write, 1, 0, 272677, 131072, 8192
write, 1, 0, 268067, 131072, 8192
write, 1, 0, 272078, 131072, 8192
write, 1, 0, 270217, 131072, 8192
write, 1, 0, 268957, 131072, 8192
write, 1, 0, 270627, 131072, 8192
write, 1, 0, 270537, 131072, 8192
write, 1, 0, 270417, 131072, 8192
write, 1, 0, 270097, 131072, 8192
write, 1, 0, 271627, 131072, 8192
write, 1, 0, 269667, 131072, 8192
write, 1, 0, 271787, 131072, 8192
write, 1, 0, 271387, 131072, 8192
write, 1, 0, 268387, 131072, 8192
write, 1, 0, 270657, 131072, 8192
write, 1, 0, 269867, 131072, 8192
write, 1, 0, 270427, 131072, 8192
write, 1, 0, 268147, 131072, 8192
write, 1, 0, 269757, 131072, 8192
write, 1, 0, 270237, 131072, 8192
write, 1, 0, 270157, 131072, 8192
write, 1, 0, 272507, 131072, 8192
write, 1, 0, 269757, 131072, 8192
write, 1, 0, 275087, 131072, 8192
write, 1, 0, 269737, 131072, 8192
write, 1, 0, 271118, 131072, 8192
write, 1, 0, 274837, 131072, 8192
write, 1, 0, 271407, 131072, 8192
write, 1, 0, 267987, 131072, 8192
write, 1, 0, 270137, 131072, 8192
write, 1, 0, 270167, 131072, 8192
write, 1, 0, 272048, 131072, 8192
write, 1, 0, 269827, 131072, 8192
write, 1, 0, 271357, 131072, 8192
write, 1, 0, 272057, 131072, 8192
write, 1, 0, 269877, 131072, 8192
write, 1, 0, 271557, 131072, 8192
write, 1, 0, 274398, 131072, 8192
write, 1, 0, 270697, 131072, 8192
write, 1, 0, 270967, 131072, 8192
write, 1, 0, 268177, 131072, 8192
write, 1, 0, 272107, 131072, 8192
write, 1, 0, 271927, 131072, 8192
write, 2, 0, 404220, 131072, 8192
write, 2, 0, 399520, 131072, 8192
write, 2, 0, 403020, 131072, 8192
write, 2, 0, 407091, 131072, 8192
write, 2, 0, 382778, 131072, 8192
write, 2, 0, 406560, 131072, 8192
write, 2, 0, 401300, 131072, 8192
write, 2, 0, 405410, 131072, 8192
write, 2, 0, 398810, 131072, 8192
write, 2, 0, 402750, 131072, 8192
write, 2, 0, 403131, 131072, 8192
write, 2, 0, 403780, 131072, 8192
write, 2, 0, 404221, 131072, 8192
write, 2, 0, 407501, 131072, 8192
write, 2, 0, 408971, 131072, 8192
write, 2, 0, 403350, 131072, 8192
write, 2, 0, 399400, 131072, 8192
write, 2, 0, 398180, 131072, 8192
write, 2, 0, 402590, 131072, 8192
write, 2, 0, 400250, 131072, 8192
write, 2, 0, 422332, 131072, 8192
write, 2, 0, 401140, 131072, 8192
write, 2, 0, 402751, 131072, 8192
write, 2, 0, 406060, 131072, 8192
write, 2, 0, 406510, 131072, 8192
write, 2, 0, 402010, 131072, 8192
write, 2, 0, 396970, 131072, 8192
write, 2, 0, 402720, 131072, 8192
write, 2, 0, 399930, 131072, 8192
write, 2, 0, 404170, 131072, 8192
write, 2, 0, 398400, 131072, 8192
write, 2, 0, 406261, 131072, 8192
write, 2, 0, 402790, 131072, 8192
write, 2, 0, 407020, 131072, 8192
write, 2, 0, 399059, 131072, 8192
write, 2, 0, 401130, 131072, 8192
write, 2, 0, 402070, 131072, 8192
write, 2, 0, 401011, 131072, 8192
write, 2, 0, 401880, 131072, 8192
write, 2, 0, 401600, 131072, 8192
write, 2, 0, 400630, 131072, 8192
write, 2, 0, 402720, 131072, 8192
write, 2, 0, 396800, 131072, 8192
write, 2, 0, 399250, 131072, 8192
write, 2, 0, 401661, 131072, 8192
write, 2, 0, 405130, 131072, 8192
write, 2, 0, 399990, 131072, 8192
write, 2, 0, 399490, 131072, 8192
write, 2, 0, 399440, 131072, 8192
write, 2, 0, 402730, 131072, 8192
write, 2, 0, 399930, 131072, 8192
write, 2, 0, 401830, 131072, 8192
write, 2, 0, 401410, 131072, 8192
write, 2, 0, 404261, 131072, 8192
write, 2, 0, 403341, 131072, 8192
write, 2, 0, 403710, 131072, 8192
write, 2, 0, 405221, 131072, 8192
write, 2, 0, 402990, 131072, 8192
write, 2, 0, 403760, 131072, 8192
write, 2, 0, 406261, 131072, 8192
write, 2, 0, 405010, 131072, 8192
write, 2, 0, 405040, 131072, 8192
write, 2, 0, 400981, 131072, 8192
write, 2, 0, 401370, 131072, 8192
write, 2, 0, 406011, 131072, 8192
write, 2, 0, 401880, 131072, 8192
write, 2, 0, 398660, 131072, 8192
write, 2, 0, 402781, 131072, 8192
write, 2, 0, 401340, 131072, 8192
write, 2, 0, 408101, 131072, 8192
write, 2, 0, 400770, 131072, 8192
write, 2, 0, 405290, 131072, 8192
write, 2, 0, 400040, 131072, 8192
write, 2, 0, 404410, 131072, 8192
write, 2, 0, 404111, 131072, 8192
write, 2, 0, 405700, 131072, 8192
write, 2, 0, 400570, 131072, 8192
write, 2, 0, 406221, 131072, 8192
write, 2, 0, 401820, 131072, 8192
write, 2, 0, 399900, 131072, 8192
write, 2, 0, 400090, 131072, 8192
write, 2, 0, 404200, 131072, 8192
write, 2, 0, 398540, 131072, 8192
write, 2, 0, 406891, 131072, 8192
write, 2, 0, 404311, 131072, 8192
write, 2, 0, 402090, 131072, 8192
write, 2, 0, 403111, 131072, 8192
write, 2, 0, 405570, 131072, 8192
write, 2, 0, 402790, 131072, 8192
write, 2, 0, 403220, 131072, 8192
write, 2, 0, 403800, 131072, 8192
write, 2, 0, 399800, 131072, 8192
write, 2, 0, 402501, 131072, 8192
write, 2, 0, 407911, 131072, 8192
write, 2, 0, 402490, 131072, 8192
write, 2, 0, 401520, 131072, 8192
write, 2, 0, 401280, 131072, 8192
write, 2, 0, 400760, 131072, 8192
write, 2, 0, 405071, 131072, 8192
write, 2, 0, 400160, 131072, 8192
write, 3, 0, 537543, 131072, 8192
write, 3, 0, 532963, 131072, 8192
write, 3, 0, 531913, 131072, 8192
write, 3, 0, 546385, 131072, 8192
write, 3, 0, 539334, 131072, 8192
write, 3, 0, 534524, 131072, 8192
write, 3, 0, 535613, 131072, 8192
write, 3, 0, 535374, 131072, 8192
write, 3, 0, 533684, 131072, 8192
write, 3, 0, 531083, 131072, 8192
write, 3, 0, 533774, 131072, 8192
write, 3, 0, 532903, 131072, 8192
write, 3, 0, 540714, 131072, 8192
write, 3, 0, 530523, 131072, 8192
write, 3, 0, 534173, 131072, 8192
write, 3, 0, 535404, 131072, 8192
write, 3, 0, 527463, 131072, 8192
write, 3, 0, 534564, 131072, 8192
write, 3, 0, 535013, 131072, 8192
write, 3, 0, 533063, 131072, 8192
write, 3, 0, 535574, 131072, 8192
write, 3, 0, 531033, 131072, 8192
write, 3, 0, 531823, 131072, 8192
write, 3, 0, 532513, 131072, 8192
write, 3, 0, 534394, 131072, 8192
write, 3, 0, 554905, 131072, 8192
write, 3, 0, 532723, 131072, 8192
write, 3, 0, 527213, 131072, 8192
write, 3, 0, 532533, 131072, 8192
write, 3, 0, 532953, 131072, 8192
write, 3, 0, 534674, 131072, 8192
write, 3, 0, 531633, 131072, 8192
write, 3, 0, 537974, 131072, 8192
write, 3, 0, 538174, 131072, 8192
write, 3, 0, 537034, 131072, 8192
write, 3, 0, 529183, 131072, 8192
write, 3, 0, 528713, 131072, 8192
write, 3, 0, 541415, 131072, 8192
write, 3, 0, 538144, 131072, 8192
write, 3, 0, 529163, 131072, 8192
write, 3, 0, 531213, 131072, 8192
write, 3, 0, 528413, 131072, 8192
write, 3, 0, 538894, 131072, 8192
write, 3, 0, 529253, 131072, 8192
write, 3, 0, 555635, 131072, 8192
write, 3, 0, 529802, 131072, 8192
write, 3, 0, 537593, 131072, 8192
write, 3, 0, 543244, 131072, 8192
write, 3, 0, 530783, 131072, 8192
write, 3, 0, 532883, 131072, 8192
write, 3, 0, 530473, 131072, 8192
write, 3, 0, 538954, 131072, 8192
write, 3, 0, 527853, 131072, 8192
write, 3, 0, 535083, 131072, 8192
write, 3, 0, 533264, 131072, 8192
write, 3, 0, 540624, 131072, 8192
write, 3, 0, 533363, 131072, 8192
write, 3, 0, 537633, 131072, 8192
write, 3, 0, 534743, 131072, 8192
write, 3, 0, 531894, 131072, 8192
write, 3, 0, 535723, 131072, 8192
write, 3, 0, 538193, 131072, 8192
write, 3, 0, 539114, 131072, 8192
write, 3, 0, 530833, 131072, 8192
write, 3, 0, 534444, 131072, 8192
write, 3, 0, 529623, 131072, 8192
write, 3, 0, 533483, 131072, 8192
write, 3, 0, 532974, 131072, 8192
write, 3, 0, 537974, 131072, 8192
write, 3, 0, 532913, 131072, 8192
write, 3, 0, 539263, 131072, 8192
write, 3, 0, 531353, 131072, 8192
write, 3, 0, 530513, 131072, 8192
write, 3, 0, 532714, 131072, 8192
write, 3, 0, 533093, 131072, 8192
write, 3, 0, 529543, 131072, 8192
write, 3, 0, 536714, 131072, 8192
write, 3, 0, 532584, 131072, 8192
write, 3, 0, 533713, 131072, 8192
write, 3, 0, 533984, 131072, 8192
write, 3, 0, 529613, 131072, 8192
write, 3, 0, 531983, 131072, 8192
write, 3, 0, 529013, 131072, 8192
write, 3, 0, 531823, 131072, 8192
write, 3, 0, 531893, 131072, 8192
write, 3, 0, 542594, 131072, 8192
write, 3, 0, 533593, 131072, 8192
write, 3, 0, 526392, 131072, 8192
write, 3, 0, 533193, 131072, 8192
write, 3, 0, 531213, 131072, 8192
write, 3, 0, 529093, 131072, 8192
write, 3, 0, 531593, 131072, 8192
write, 3, 0, 563176, 131072, 8192
write, 3, 0, 533833, 131072, 8192
write, 3, 0, 530343, 131072, 8192
write, 3, 0, 534674, 131072, 8192
write, 3, 0, 530103, 131072, 8192
write, 3, 0, 535224, 131072, 8192
write, 3, 0, 531383, 131072, 8192
write, 3, 0, 529913, 131072, 8192
